"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif130",34.951925,29.557669,"","PRESENT"
"gbif131",34.916778,25.046246,"","PRESENT"
"gbif132",34.458542,27.991371,"","PRESENT"
"gbif133",34.973466,29.428048,"","PRESENT"
"gbif134",34.973248,29.428212,"","PRESENT"
"gbif135",34.682332,25.468247,"","PRESENT"
"gbif136",34.515019,28.478897,"","PRESENT"
"gbif137",33.943402,27.35317,"","PRESENT"
"gbif138",35.43116,24.207438,"","PRESENT"
"gbif139",34.984208,24.943976,"","PRESENT"
"gbif140",34.79751,25.244974,"","PRESENT"
"gbif141",34.032801,26.572244,"","PRESENT"
"gbif142",34.389978,25.943165,"","PRESENT"
"gbif143",34.032726,26.572292,"","PRESENT"
"gbif144",34.032876,26.572398,"","PRESENT"
"gbif145",34.742718,25.339934,"","PRESENT"
"gbif146",34.948534,29.549954,"","PRESENT"
"gbif147",33.983671,27.235678,"","PRESENT"
"gbif148",34.941797,29.52926,"","PRESENT"
"gbif149",34.947493,29.533514,"","PRESENT"
"gbif150",34.459993,27.99294,"","PRESENT"
"gbif151",34.06987,26.747565,"","PRESENT"
"gbif152",34.513654,28.509197,"","PRESENT"
"gbif153",34.06987,26.747565,"","PRESENT"
"gbif154",34.472778,28.005833,"","PRESENT"
"gbif155",34.472778,28.005833,"","PRESENT"
"gbif156",34.970092,29.4385,"","PRESENT"
"gbif157",33.982131,27.161965,"","PRESENT"
"gbif158",33.873523,27.560327,"","PRESENT"
"gbif159",33.873523,27.560327,"","PRESENT"
"gbif160",33.908721,27.352994,"","PRESENT"
"gbif161",33.873523,27.560327,"","PRESENT"
"gbif162",34.25648,27.739557,"","PRESENT"
"gbif163",34.461753,28.429641,"","PRESENT"
"gbif164",34.513855,28.477268,"","PRESENT"
"gbif165",34.513855,28.477268,"","PRESENT"
"gbif166",34.972223,29.423638,"","PRESENT"
"gbif167",34.638117,28.18345,"","PRESENT"
"gbif168",34.638117,28.18345,"","PRESENT"
"gbif169",34.740667,28.403867,"","PRESENT"
"gbif170",34.740667,28.403867,"","PRESENT"
"gbif171",34.638117,28.18345,"","PRESENT"
"gbif172",54.350867,12.6048,"","PRESENT"
"gbif173",54.350867,12.6048,"","PRESENT"
"gbif174",34.740667,28.403867,"","PRESENT"
"gbif175",54.350867,12.6048,"","PRESENT"
"gbif176",54.350867,12.6048,"","PRESENT"
"gbif177",34.638117,28.18345,"","PRESENT"
"gbif178",34.638117,28.18345,"","PRESENT"
"gbif179",34.740667,28.403867,"","PRESENT"
"gbif180",34.740667,28.403867,"","PRESENT"
"gbif181",34.638117,28.18345,"","PRESENT"
"gbif182",34.740667,28.403867,"","PRESENT"
"gbif183",43.143217,11.699183,"","PRESENT"
"gbif184",34.740667,28.403867,"","PRESENT"
"gbif185",34.638117,28.18345,"","PRESENT"
"gbif186",34.740667,28.403867,"","PRESENT"
"gbif187",34.740667,28.403867,"","PRESENT"
"gbif188",43.143217,11.699183,"","PRESENT"
"gbif189",34.740667,28.403867,"","PRESENT"
"gbif190",54.178017,12.670333,"","PRESENT"
"gbif191",43.143217,11.699183,"","PRESENT"
"gbif192",34.740667,28.403867,"","PRESENT"
"gbif193",43.143217,11.699183,"","PRESENT"
"gbif194",34.740667,28.403867,"","PRESENT"
"gbif195",54.178017,12.670333,"","PRESENT"
"gbif196",34.740667,28.403867,"","PRESENT"
"gbif197",34.740667,28.403867,"","PRESENT"
"gbif198",34.638117,28.18345,"","PRESENT"
"gbif199",34.740667,28.403867,"","PRESENT"
"gbif200",34.740667,28.403867,"","PRESENT"
"gbif201",34.638117,28.18345,"","PRESENT"
"gbif202",34.638117,28.18345,"","PRESENT"
"gbif203",34.740667,28.403867,"","PRESENT"
"gbif204",34.638117,28.18345,"","PRESENT"
"gbif205",34.740667,28.403867,"","PRESENT"
"gbif206",34.740667,28.403867,"","PRESENT"
"gbif207",43.143217,11.699183,"","PRESENT"
"gbif208",34.419829,25.869231,"","PRESENT"
"gbif209",33.908056,27.355833,"","PRESENT"
"gbif210",33.908056,27.355833,"","PRESENT"
"gbif211",33.855439,27.799431,"","PRESENT"
"gbif212",33.908056,27.355833,"","PRESENT"
"gbif213",33.882993,27.557208,"","PRESENT"
"gbif214",33.882993,27.557208,"","PRESENT"
"gbif215",33.88265,27.556903,"","PRESENT"
"gbif216",33.87544,27.557512,"","PRESENT"
"gbif217",33.87544,27.557512,"","PRESENT"
"gbif218",33.777936,27.348515,"","PRESENT"
"gbif219",33.876311,27.559901,"","PRESENT"
"gbif220",33.928509,27.580149,"","PRESENT"
"gbif221",33.796579,27.324645,"","PRESENT"
"gbif222",34.777674,25.344137,"","PRESENT"
"gbif223",34.777674,25.344137,"","PRESENT"
"gbif224",33.796579,27.324645,"","PRESENT"
"gbif225",34.951919,29.557669,"","PRESENT"
"gbif226",34.951919,29.557669,"","PRESENT"
"gbif227",34.680997,25.4689,"","PRESENT"
"gbif228",34.389805,25.941833,"","PRESENT"
"gbif229",34.681519,25.468094,"","PRESENT"
"gbif230",34.258354,26.149008,"","PRESENT"
"gbif231",34.793036,25.343331,"","PRESENT"
"gbif232",34.322662,27.875046,"","PRESENT"
"gbif233",34.9115,29.497665,"","PRESENT"
"gbif234",33.811607,27.257896,"","PRESENT"
"gbif235",33.811607,27.257896,"","PRESENT"
"gbif237",33.751202,27.444837,"","PRESENT"
"gbif238",34.936988,29.525924,"","PRESENT"
"gbif239",33.929444,27.575556,"","PRESENT"
"gbif240",34.516978,28.589008,"","PRESENT"
"gbif241",39.166099,20.834906,"","PRESENT"
"gbif242",34.917161,29.50028,"","PRESENT"
"gbif243",34.339086,27.912301,"","PRESENT"
"gbif244",34.2585,27.7252,"","PRESENT"
"gbif245",34.8406,25.1716,"","PRESENT"
"gbif246",34.3391,27.9034,"","PRESENT"
"gbif247",34.651849,25.513202,"","PRESENT"
"gbif248",34.606917,25.6027,"","PRESENT"
"gbif249",34.91143,29.497374,"","PRESENT"
"gbif250",34.91143,29.497374,"","PRESENT"
"gbif251",33.953399,27.140332,"","PRESENT"
"gbif252",33.953399,27.140332,"","PRESENT"
"gbif253",34.459309,28.435513,"","PRESENT"
"gbif254",34.520542,28.499094,"","PRESENT"
"gbif255",34.533462,28.563718,"","PRESENT"
"gbif256",35.433912,24.203132,"","PRESENT"
"gbif257",33.811085,27.184645,"","PRESENT"
"gbif258",33.811085,27.184645,"","PRESENT"
"gbif259",34.936033,29.526438,"","PRESENT"
"gbif260",33.874712,27.557667,"","PRESENT"
"gbif261",33.897972,27.549068,"","PRESENT"
"gbif262",33.877544,27.558504,"","PRESENT"
"gbif263",33.902435,27.354083,"","PRESENT"
"gbif264",33.876343,27.554547,"","PRESENT"
"gbif265",33.9505,27.398594,"","PRESENT"
"gbif266",34.919679,29.505648,"","PRESENT"
"gbif267",34.005132,26.849144,"","PRESENT"
"gbif268",34.005132,26.849144,"","PRESENT"
"gbif269",34.905832,29.493271,"","PRESENT"
"gbif270",34.08268,26.753208,"","PRESENT"
"gbif271",34.08268,26.753208,"","PRESENT"
"gbif272",34.111519,26.654449,"","PRESENT"
"gbif273",34.111519,26.654449,"","PRESENT"
"gbif274",33.991098,26.836998,"","PRESENT"
"gbif275",33.928528,27.191919,"","PRESENT"
"gbif279",34.419351,27.96588,"","PRESENT"
"gbif280",33.904281,26.99624,"","PRESENT"
"gbif281",33.911308,26.990154,"","PRESENT"
"gbif282",34.002176,26.843093,"","PRESENT"
"gbif283",34.183964,27.759023,"","PRESENT"
"gbif284",34.33407,27.873337,"","PRESENT"
"gbif285",33.906685,27.042385,"","PRESENT"
"gbif286",33.921124,27.014708,"","PRESENT"
"gbif287",33.925694,26.965683,"","PRESENT"
"gbif288",33.8257,27.3047,"","PRESENT"
"gbif289",34.003185,26.843476,"","PRESENT"
"gbif290",34.002091,26.841868,"","PRESENT"
"gbif291",33.9789,27.1578,"","PRESENT"
"gbif292",34.3254,27.8553,"","PRESENT"
"gbif293",33.9114,26.9932,"","PRESENT"
"gbif294",33.9239,27.027,"","PRESENT"
"gbif298",39.026238,22.217319,"","PRESENT"
"gbif299",34.082412,26.753773,"","PRESENT"
"gbif300",34.037286,26.555422,"","PRESENT"
"gbif301",33.9075,27.0412,"","PRESENT"
"gbif302",39.0687,21.7322,"","PRESENT"
"gbif303",33.8919,27.046,"","PRESENT"
"gbif304",33.9075,27.0412,"","PRESENT"
"gbif305",33.9535,27.1399,"","PRESENT"
"gbif306",34.308758,27.847548,"","PRESENT"
"gbif307",34.681519,25.468094,"","PRESENT"
"gbif308",34.308758,27.847548,"","PRESENT"
"gbif309",34.319916,27.856646,"","PRESENT"
"gbif310",33.896599,26.985723,"","PRESENT"
"gbif311",34.65221,25.509214,"","PRESENT"
"gbif312",34.308758,27.847548,"","PRESENT"
"gbif313",35.382843,24.372744,"","PRESENT"
"gbif314",34.254566,27.765118,"","PRESENT"
"gbif315",34.401627,27.96105,"","PRESENT"
"gbif316",33.896599,26.985723,"","PRESENT"
"gbif317",34.351242,27.913221,"","PRESENT"
"gbif318",33.871236,27.405376,"","PRESENT"
"gbif319",33.7806,27.2778,"","PRESENT"
"gbif320",33.8144,27.2897,"","PRESENT"
"gbif322",33.7931,27.3139,"","PRESENT"
"gbif323",39.4417,16.13,"","PRESENT"
"gbif324",34.8111,29.3991,"","PRESENT"
"gbif325",33.7889,27.2736,"","PRESENT"
"gbif326",40,15.5419,"","PRESENT"
"gbif327",33.7736,27.2794,"","PRESENT"
"gbif328",33.928581,27.58053,"","PRESENT"
"gbif329",33.792443,27.689456,"","PRESENT"
"gbif330",48.19,4.74,"","PRESENT"
"gbif331",48.19,4.74,"","PRESENT"
"gbif332",34.125278,27.7025,"","PRESENT"
"gbif333",33.79755,27.665589,"","PRESENT"
"gbif334",33.870378,27.40408,"","PRESENT"
"gbif335",34.2625,27.7921,"","PRESENT"
"gbif336",34.9188,29.5028,"","PRESENT"
"gbif337",34.917,29.5012,"","PRESENT"
"gbif338",34.9188,29.5028,"","PRESENT"
"gbif339",34.917,29.5012,"","PRESENT"
"gbif340",34.917,29.5012,"","PRESENT"
"gbif341",34.917,29.5012,"","PRESENT"
"gbif342",34.9694,29.4486,"","PRESENT"
"gbif343",34.9694,29.4486,"","PRESENT"
"gbif344",35.6118,24.2199,"","PRESENT"
"gbif345",35.5399,24.2531,"","PRESENT"
"gbif346",35.5399,24.2531,"","PRESENT"
"gbif347",35.8645,23.4303,"","PRESENT"
"gbif348",35.8645,23.4303,"","PRESENT"
"gbif349",35.9851,23.4176,"","PRESENT"
"gbif350",34.95,29.55,"","PRESENT"
"gbif351",33.816667,27.25,"","PRESENT"
"gbif352",33.816666,27.25,"","PRESENT"
"gbif353",34.950001,29.549999,"","PRESENT"
"gbif354",42.383333,15.520833,"","PRESENT"
"gbif355",42.339444,15.516667,"","PRESENT"
"gbif356",39.45,15.60972,"","PRESENT"
"gbif357",35.145392,24.514601,"","PRESENT"
"gbif358",70.766111,-5.406944,"","PRESENT"
"gbif359",71.77,-5.411111,"","PRESENT"
"gbif360",71.75,-5.416667,"","PRESENT"
"gbif361",72.216111,-5.355,"","PRESENT"
"gbif362",72.219722,-5.368611,"","PRESENT"
"gbif363",71.802778,-5.420556,"","PRESENT"
"gbif364",72.204444,-5.355278,"","PRESENT"
"gbif365",34.4532,27.9845,"","PRESENT"
"gbif366",34.6793,25.4681,"","PRESENT"
"gbif367",43.270658,11.64763,"NATIVE","PRESENT"
"gbif368",43.270658,11.64763,"NATIVE","PRESENT"
"gbif369",43.270658,11.64763,"NATIVE","PRESENT"
"gbif370",43.270658,11.64763,"NATIVE","PRESENT"
"gbif371",43.270658,11.64763,"NATIVE","PRESENT"
"gbif372",43.270658,11.64763,"NATIVE","PRESENT"
"gbif373",43.270658,11.64763,"NATIVE","PRESENT"
"gbif374",43.270658,11.64763,"NATIVE","PRESENT"
"gbif375",34.8642,26.3006,"","PRESENT"
"gbif376",34.031195,26.572993,"","PRESENT"
"gbif377",34.031195,26.572993,"","PRESENT"
"gbif378",34.106198,26.65697,"","PRESENT"
"gbif379",34.113493,26.656511,"","PRESENT"
"gbif380",34.031195,26.572993,"","PRESENT"
"gbif381",34.031195,26.572993,"","PRESENT"
"gbif382",34.031195,26.572993,"","PRESENT"
"gbif383",33.955,27.1399,"","PRESENT"
"gbif384",33.8835,27.1412,"","PRESENT"
"gbif385",33.9518,27.1399,"","PRESENT"
"gbif386",34.4595,28.4377,"","PRESENT"
"gbif387",35.5399,24.2531,"","PRESENT"
"gbif388",35.5399,24.2531,"","PRESENT"
"gbif389",34.255672,27.74629,"","PRESENT"
"gbif390",34.127183,27.702528,"","PRESENT"
"gbif391",34.187307,27.732009,"","PRESENT"
"gbif392",34.187307,27.732009,"","PRESENT"
"gbif393",34.26198,27.789884,"","PRESENT"
"gbif394",34.537384,28.572292,"","PRESENT"
"gbif395",34.556465,28.60502,"","PRESENT"
"gbif396",34.540672,28.565225,"","PRESENT"
"gbif397",34.459391,28.420844,"","PRESENT"
"gbif398",34.459906,28.43428,"","PRESENT"
"gbif399",34.303608,27.843933,"","PRESENT"
"gbif400",34.968795,29.433617,"","PRESENT"
"gbif401",34.968795,29.433617,"","PRESENT"
"gbif402",34.8057,25.2202,"","PRESENT"
"gbif403",73.4678,3.88045,"","PRESENT"
"gbif404",34.1046,26.7082,"","PRESENT"
"gbif405",33.838,27.3468,"","PRESENT"
"gbif406",34.3498,27.9122,"","PRESENT"
"gbif407",34.3578,27.9159,"","PRESENT"
"gbif408",34.3088,27.8473,"","PRESENT"
"gbif409",34.3253,27.8828,"","PRESENT"
"gbif410",33.9236,27.577,"","PRESENT"
"gbif411",34.9969,24.9856,"","PRESENT"
"gbif412",34.9969,24.9856,"","PRESENT"
"gbif414",35.569919,24.187934,"","PRESENT"
"gbif415",36.057129,23.488439,"","PRESENT"
"gbif416",34.719543,25.477992,"","PRESENT"
"gbif417",35.7026,24.1598,"","PRESENT"
"gbif418",34.6822,25.4683,"","PRESENT"
"gbif419",34.4133,25.9024,"","PRESENT"
"gbif420",34.4218,25.8702,"","PRESENT"
"gbif422",34.663925,25.552354,"","PRESENT"
"gbif423",35.569919,24.187934,"","PRESENT"
"gbif424",34.9688,29.5447,"","PRESENT"
"gbif425",34.2625,27.7921,"","PRESENT"
"gbif426",34.9688,29.4439,"","PRESENT"
"gbif427",34.9694,29.4423,"","PRESENT"
"gbif428",35.57373,24.194364,"","PRESENT"
"gbif429",34.357655,27.915649,"","PRESENT"
"gbif430",34.322662,27.875046,"","PRESENT"
"gbif431",34.219509,26.205105,"","PRESENT"
"gbif432",34.219509,26.205105,"","PRESENT"
"gbif433",34.740421,25.336998,"","PRESENT"
"gbif434",34.357655,27.915649,"","PRESENT"
"gbif435",34.958019,29.441069,"","PRESENT"
"gbif436",34.041,26.6555,"","PRESENT"
"gbif437",33.9531,27.2227,"","PRESENT"
"gbif438",34.8949,29.4926,"","PRESENT"
"gbif439",34.740667,28.404867,"","PRESENT"
"gbif440",34.9272,29.5143,"","PRESENT"
"gbif441",33.8973,27.2273,"","PRESENT"
"gbif442",33.9946,26.9036,"","PRESENT"
"gbif443",34.171,27.7201,"","PRESENT"
"gbif444",48.2,4.75,"","PRESENT"
"gbif445",48.2,4.75,"","PRESENT"
"gbif449",34.973,29.43,"","PRESENT"
"gbif450",34.0874,26.7518,"","PRESENT"
"gbif451",34.0292,27.4185,"","PRESENT"
"gbif452",34.0026,26.8424,"","PRESENT"
"gbif455",33.9849,26.8251,"","PRESENT"
"gbif456",34.5828,25.5582,"","PRESENT"
"gbif457",34.3524,27.9149,"","PRESENT"
"gbif458",33.8113,27.4467,"","PRESENT"
"gbif459",33.7773,27.539,"","PRESENT"
"gbif460",34.078,26.7552,"","PRESENT"
"gbif461",34.5187,28.4989,"","PRESENT"
"gbif462",34.3946,27.9502,"","PRESENT"
"gbif463",33.8977,27.2256,"","PRESENT"
"gbif464",34.5197,28.4991,"","PRESENT"
"gbif465",34.5187,28.4989,"","PRESENT"
"gbif466",34.3019,27.8473,"","PRESENT"
"gbif467",34.2551,27.7462,"","PRESENT"
"gbif468",34.4713,28.0058,"","PRESENT"
"gbif469",34.9382,25.0716,"","PRESENT"
"gbif470",34.5208,28.5548,"","PRESENT"
