link	run_acc_sra	sampid_assigned_for_bioinf	locality	read_type_sra
PRJNA473221_Bombus-bifarius	SRR7222399	sample165	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222400	sample166	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222401	sample167	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222402	sample168	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222403	sample169	Washington11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222406	sample170	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222407	sample171	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222412	sample172	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222413	sample173	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222414	sample174	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222415	sample175	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222416	sample176	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222417	sample177	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222418	sample178	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222419	sample179	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222448	sample180	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222449	sample181	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222451	sample182	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222452	sample183	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222453	sample184	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222454	sample185	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222455	sample186	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222456	sample187	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222457	sample188	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222458	sample189	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222459	sample190	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222460	sample191	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222461	sample192	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222462	sample193	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222463	sample194	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222464	sample195	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222465	sample196	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222466	sample197	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222467	sample198	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222468	sample199	Washington9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222469	sample200	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222470	sample201	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222471	sample202	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222472	sample203	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222473	sample204	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222474	sample205	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222475	sample206	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222476	sample207	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222478	sample208	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222479	sample209	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222506	sample210	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222507	sample211	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222508	sample212	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222509	sample213	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222510	sample214	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222511	sample215	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222512	sample216	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222513	sample217	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222514	sample218	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222515	sample219	California8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222561	sample220	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222562	sample221	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222565	sample222	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222566	sample223	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222567	sample224	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222568	sample225	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222569	sample226	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222570	sample227	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222571	sample228	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222572	sample229	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222573	sample230	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222574	sample231	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222589	sample232	California2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222595	sample233	California4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222596	sample234	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222597	sample235	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222598	sample236	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222599	sample237	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222600	sample238	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222601	sample239	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222602	sample240	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222603	sample241	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222605	sample242	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222606	sample243	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222618	sample244	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222619	sample245	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222620	sample246	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222621	sample247	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222622	sample248	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222623	sample249	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222624	sample250	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222625	sample251	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222626	sample252	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222627	sample253	California3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222656	sample254	California11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222657	sample255	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222659	sample256	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222660	sample257	Oregon4	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222661	sample258	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222662	sample259	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222663	sample260	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222664	sample261	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222665	sample262	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222666	sample263	Oregon8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222714	sample264	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222715	sample265	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222716	sample266	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222717	sample267	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222718	sample268	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222719	sample269	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222720	sample270	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222722	sample271	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222723	sample272	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222725	sample273	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222726	sample274	Oregon2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222727	sample275	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222728	sample276	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222729	sample277	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222730	sample278	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222731	sample279	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222732	sample280	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222733	sample281	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222734	sample282	Washington8	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222735	sample283	Washington7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222736	sample284	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222737	sample285	Washington7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222738	sample286	Washington7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222739	sample287	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222740	sample288	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222741	sample289	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222742	sample290	Oregon11	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222747	sample291	Washington10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222748	sample292	Washington7	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222775	sample293	California10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222776	sample294	California10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222779	sample295	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222780	sample296	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222781	sample297	California10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222782	sample298	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222783	sample299	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222784	sample300	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222785	sample301	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222786	sample302	California9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222789	sample303	Washington3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222790	sample304	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222791	sample305	Washington3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222792	sample306	Washington3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222793	sample307	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222794	sample308	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222795	sample309	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222796	sample310	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222797	sample311	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222798	sample312	Washington1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222800	sample313	California1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222801	sample314	Oregon1	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222819	sample315	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222820	sample316	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222821	sample317	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222822	sample318	California10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222823	sample319	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222824	sample320	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222825	sample321	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222826	sample322	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222827	sample323	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222828	sample324	Oregon3	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222843	sample325	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222846	sample326	Washington6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222865	sample327	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222866	sample328	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222867	sample329	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222868	sample330	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222869	sample331	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222870	sample332	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222871	sample333	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222872	sample334	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222873	sample335	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222874	sample336	Oregon6	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222875	sample337	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222876	sample338	Washington2	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222878	sample339	Oregon10	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222879	sample340	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222880	sample341	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222881	sample342	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222882	sample343	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222883	sample344	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222884	sample345	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222885	sample346	Oregon9	SINGLE
PRJNA473221_Bombus-bifarius	SRR7222886	sample347	Oregon9	SINGLE
