link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA473221_Bombus-vosnesenskii	SRR7222933	JDL627-CA11-2013--Bv	dummy	null	null	SINGLE	1578819	1578819
PRJNA473221_Bombus-vosnesenskii	SRR7222934	JDL620-CA11-2013--Bv	dummy	null	null	SINGLE	1640086	1640086
PRJNA473221_Bombus-vosnesenskii	SRR7222935	JDL621-CA11-2013--Bv	dummy	null	null	SINGLE	2025687	2025687
PRJNA473221_Bombus-vosnesenskii	SRR7222936	JDL603-CA09-2013--Bv	dummy	null	null	SINGLE	2332957	2332957
PRJNA473221_Bombus-vosnesenskii	SRR7222937	JDL623-CA11-2013--Bv	dummy	null	null	SINGLE	2439507	2439507
PRJNA473221_Bombus-vosnesenskii	SRR7222938	JDL598-CA09-2013-D-Bv	dummy	null	null	SINGLE	1938619	1938619
PRJNA473221_Bombus-vosnesenskii	SRR7222939	JDL543-CA06-2013--Bv	dummy	null	null	SINGLE	1651098	1651098
PRJNA473221_Bombus-vosnesenskii	SRR7222940	JDL790-WA03-2014--Bv	dummy	null	null	SINGLE	1040059	1040059
PRJNA473221_Bombus-vosnesenskii	SRR7222949	JDL268-CA01-2012--Bv	dummy	null	null	SINGLE	1265378	1265378
PRJNA473221_Bombus-vosnesenskii	SRR7222952	JDL3106-WA18-2016--Bv	dummy	null	null	SINGLE	1852216	1852216
PRJNA473221_Bombus-vosnesenskii	SRR7222953	JDL3107-WA18-2016--Bv	dummy	null	null	SINGLE	1607270	1607270
PRJNA473221_Bombus-vosnesenskii	SRR7222954	JDL841b-OR08-2014-D-Bv	dummy	null	null	SINGLE	1923261	1923261
PRJNA473221_Bombus-vosnesenskii	SRR7222955	JDL931-CA01-2015-D-Bv	dummy	null	null	SINGLE	1734944	1734944
PRJNA473221_Bombus-vosnesenskii	SRR7222956	JDL1173-OR02-2015-D-Bv	dummy	null	null	SINGLE	1602065	1602065
PRJNA473221_Bombus-vosnesenskii	SRR7222957	JDL1182-OR02-2015-D-Bv	dummy	null	null	SINGLE	1803122	1803122
PRJNA473221_Bombus-vosnesenskii	SRR7222958	JDL1038-CA05-2015--Bv	dummy	null	null	SINGLE	1926808	1926808
PRJNA473221_Bombus-vosnesenskii	SRR7222959	JDL1051-CA06-2015--Bv	dummy	null	null	SINGLE	1339706	1339706
PRJNA473221_Bombus-vosnesenskii	SRR7222960	JDL986-CA03-2015--Bv	dummy	null	null	SINGLE	1102104	1102104
PRJNA473221_Bombus-vosnesenskii	SRR7222961	JDL989-CA03-2015--Bv	dummy	null	null	SINGLE	1292327	1292327
PRJNA473221_Bombus-vosnesenskii	SRR7222962	JDL990-CA03-2015--Bv	dummy	null	null	SINGLE	1345038	1345038
PRJNA473221_Bombus-vosnesenskii	SRR7222963	JDL1013-CA04-2015--Bv	dummy	null	null	SINGLE	1469225	1469225
PRJNA473221_Bombus-vosnesenskii	SRR7222964	JDL1016-CA04-2015--Bv	dummy	null	null	SINGLE	2532738	2532738
PRJNA473221_Bombus-vosnesenskii	SRR7222965	JDL619-CA11-2013--Bv	dummy	null	null	SINGLE	2252249	2252249
PRJNA473221_Bombus-vosnesenskii	SRR7222966	JDL1036-CA05-2015--Bv	dummy	null	null	SINGLE	2021605	2021605
PRJNA473221_Bombus-vosnesenskii	SRR7222967	JDL1037-CA05-2015--Bv	dummy	null	null	SINGLE	1727217	1727217
PRJNA473221_Bombus-vosnesenskii	SRR7222968	JDL835-OR07-2014--Bv	dummy	null	null	SINGLE	2705617	2705617
PRJNA473221_Bombus-vosnesenskii	SRR7222969	JDL834-OR07-2014--Bv	dummy	null	null	SINGLE	1660104	1660104
PRJNA473221_Bombus-vosnesenskii	SRR7222972	JDL839-OR08-2014--Bv	dummy	null	null	SINGLE	1540580	1540580
PRJNA473221_Bombus-vosnesenskii	SRR7222973	JDL838-OR08-2014--Bv	dummy	null	null	SINGLE	1493901	1493901
PRJNA473221_Bombus-vosnesenskii	SRR7222974	JDL837-OR07-2014--Bv	dummy	null	null	SINGLE	1923896	1923896
PRJNA473221_Bombus-vosnesenskii	SRR7222975	JDL836-OR07-2014--Bv	dummy	null	null	SINGLE	3332629	3332629
PRJNA473221_Bombus-vosnesenskii	SRR7222984	JDL1295-CA16-2015-S-Bv	dummy	null	null	SINGLE	1660576	1660576
PRJNA473221_Bombus-vosnesenskii	SRR7222985	JDL1892-CA29-2015-S-Bv	dummy	null	null	SINGLE	1309457	1309457
PRJNA473221_Bombus-vosnesenskii	SRR7222986	JDL1267-CA15-2015-S-Bv	dummy	null	null	SINGLE	1235442	1235442
PRJNA473221_Bombus-vosnesenskii	SRR7222987	JDL1269-CA15-2015-S-Bv	dummy	null	null	SINGLE	2339781	2339781
PRJNA473221_Bombus-vosnesenskii	SRR7222988	JDL1895-CA29-2015-S-Bv	dummy	null	null	SINGLE	2285345	2285345
PRJNA473221_Bombus-vosnesenskii	SRR7222989	JDL2891-WA07-2016--Bv	dummy	null	null	SINGLE	1946802	1946802
PRJNA473221_Bombus-vosnesenskii	SRR7222990	JDL1893-CA29-2015-S-Bv	dummy	null	null	SINGLE	1632074	1632074
PRJNA473221_Bombus-vosnesenskii	SRR7222991	JDL1894-CA29-2015-S-Bv	dummy	null	null	SINGLE	1991661	1991661
PRJNA473221_Bombus-vosnesenskii	SRR7222992	JDL1160-CA12-2015--Bv	dummy	null	null	SINGLE	1285459	1285459
PRJNA473221_Bombus-vosnesenskii	SRR7222993	JDL2934-OR01-2016--Bv	dummy	null	null	SINGLE	1610935	1610935
PRJNA473221_Bombus-vosnesenskii	SRR7222994	JDL615-CA10-2013--Bv	dummy	null	null	SINGLE	1373505	1373505
PRJNA473221_Bombus-vosnesenskii	SRR7222995	JDL3129-OR04-2016--Bv	dummy	null	null	SINGLE	1419579	1419579
PRJNA473221_Bombus-vosnesenskii	SRR7222996	JDL156-OR06-2012--Bv	dummy	null	null	SINGLE	1182980	1182980
PRJNA473221_Bombus-vosnesenskii	SRR7222997	JDL158-OR06-2012--Bv	dummy	null	null	SINGLE	1244083	1244083
PRJNA473221_Bombus-vosnesenskii	SRR7222998	JDL3130-OR04-2016--Bv	dummy	null	null	SINGLE	1514092	1514092
