link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA473221_Bombus-vosnesenskii	SRR7222245	JDL658-CA13-2013--Bv	dummy	null	null	SINGLE	1479683	1479683
PRJNA473221_Bombus-vosnesenskii	SRR7222246	JDL655-CA13-2013--Bv	dummy	null	null	SINGLE	1361149	1361149
PRJNA473221_Bombus-vosnesenskii	SRR7222247	JDL656-CA13-2013--Bv	dummy	null	null	SINGLE	1339745	1339745
PRJNA473221_Bombus-vosnesenskii	SRR7222248	JDL345-CA04-2012--Bv	dummy	null	null	SINGLE	1478186	1478186
PRJNA473221_Bombus-vosnesenskii	SRR7222249	JDL344-CA04-2012--Bv	dummy	null	null	SINGLE	2031598	2031598
PRJNA473221_Bombus-vosnesenskii	SRR7222250	JDL317-CA03-2012--Bv	dummy	null	null	SINGLE	2430426	2430426
PRJNA473221_Bombus-vosnesenskii	SRR7222251	JDL346-CA04-2012--Bv	dummy	null	null	SINGLE	2435196	2435196
PRJNA473221_Bombus-vosnesenskii	SRR7222252	JDL340-CA04-2012--Bv	dummy	null	null	SINGLE	1958354	1958354
PRJNA473221_Bombus-vosnesenskii	SRR7222253	JDL339-CA04-2012--Bv	dummy	null	null	SINGLE	1111059	1111059
PRJNA473221_Bombus-vosnesenskii	SRR7222254	JDL343-CA04-2012--Bv	dummy	null	null	SINGLE	3054910	3054910
PRJNA473221_Bombus-vosnesenskii	SRR7222255	JDL341-CA04-2012--Bv	dummy	null	null	SINGLE	2121201	2121201
PRJNA473221_Bombus-vosnesenskii	SRR7222256	JDL318-CA03-2012--Bv	dummy	null	null	SINGLE	2178336	2178336
PRJNA473221_Bombus-vosnesenskii	SRR7222257	JDL1216-CA13-2015--Bv	dummy	null	null	SINGLE	1399136	1399136
PRJNA473221_Bombus-vosnesenskii	SRR7222258	JDL645-CA12-2013--Bv	dummy	null	null	SINGLE	1366188	1366188
PRJNA473221_Bombus-vosnesenskii	SRR7222259	JDL1270-CA15-2015--Bv	dummy	null	null	SINGLE	1692670	1692670
PRJNA473221_Bombus-vosnesenskii	SRR7222260	JDL483-CA03-2013--Bv	dummy	null	null	SINGLE	1477765	1477765
PRJNA473221_Bombus-vosnesenskii	SRR7222261	JDL482-CA03-2013--Bv	dummy	null	null	SINGLE	1526064	1526064
PRJNA473221_Bombus-vosnesenskii	SRR7222262	JDL325-CA04-2012--Bv	dummy	null	null	SINGLE	877311	877311
PRJNA473221_Bombus-vosnesenskii	SRR7222263	JDL1213-CA13-2015--Bv	dummy	null	null	SINGLE	2157563	2157563
PRJNA473221_Bombus-vosnesenskii	SRR7222265	JDL657-CA13-2013--Bv	dummy	null	null	SINGLE	1501389	1501389
PRJNA473221_Bombus-vosnesenskii	SRR7222277	JDL347-CA04-2012--Bv	dummy	null	null	SINGLE	1834819	1834819
PRJNA473221_Bombus-vosnesenskii	SRR7222279	JDL1272-CA15-2015--Bv	dummy	null	null	SINGLE	1680769	1680769
PRJNA473221_Bombus-vosnesenskii	SRR7222280	JDL1273-CA15-2015--Bv	dummy	null	null	SINGLE	1177739	1177739
PRJNA473221_Bombus-vosnesenskii	SRR7222283	JDL218-OR09-2012--Bv	dummy	null	null	SINGLE	1026105	1026105
PRJNA473221_Bombus-vosnesenskii	SRR7222284	JDL168-OR06-2012--Bv	dummy	null	null	SINGLE	1449353	1449353
PRJNA473221_Bombus-vosnesenskii	SRR7222285	JDL220-OR09-2012--Bv	dummy	null	null	SINGLE	1013352	1013352
PRJNA473221_Bombus-vosnesenskii	SRR7222286	JDL219-OR09-2012--Bv	dummy	null	null	SINGLE	1252998	1252998
PRJNA473221_Bombus-vosnesenskii	SRR7222287	JDL251-OR11-2012--Bv	dummy	null	null	SINGLE	1297828	1297828
PRJNA473221_Bombus-vosnesenskii	SRR7222288	JDL226-OR09-2012--Bv	dummy	null	null	SINGLE	946781	946781
PRJNA473221_Bombus-vosnesenskii	SRR7222297	JDL1217-CA13-2015--Bv	dummy	null	null	SINGLE	1935425	1935425
PRJNA473221_Bombus-vosnesenskii	SRR7222298	JDL1209-CA13-2015--Bv	dummy	null	null	SINGLE	2044065	2044065
PRJNA473221_Bombus-vosnesenskii	SRR7222299	JDL3157-OR05-2016--Bv	dummy	null	null	SINGLE	1203475	1203475
PRJNA473221_Bombus-vosnesenskii	SRR7222301	JDL1210-CA13-2015--Bv	dummy	null	null	SINGLE	1850731	1850731
PRJNA473221_Bombus-vosnesenskii	SRR7222302	JDL3158-OR05-2016--Bv	dummy	null	null	SINGLE	1792583	1792583
PRJNA473221_Bombus-vosnesenskii	SRR7222303	JDL1212-CA13-2015--Bv	dummy	null	null	SINGLE	2098246	2098246
PRJNA473221_Bombus-vosnesenskii	SRR7222304	JDL3159-OR05-2016--Bv	dummy	null	null	SINGLE	1755588	1755588
PRJNA473221_Bombus-vosnesenskii	SRR7222318	JDL985-CA03-2015--Bv	dummy	null	null	SINGLE	1460023	1460023
PRJNA473221_Bombus-vosnesenskii	SRR7222319	JDL983-CA03-2015--Bv	dummy	null	null	SINGLE	1536765	1536765
PRJNA473221_Bombus-vosnesenskii	SRR7222320	JDL960-CA02-2015--Bv	dummy	null	null	SINGLE	910205	910205
PRJNA473221_Bombus-vosnesenskii	SRR7222321	JDL958-CA02-2015--Bv	dummy	null	null	SINGLE	830986	830986
PRJNA473221_Bombus-vosnesenskii	SRR7222322	JDL982-CA03-2015--Bv	dummy	null	null	SINGLE	1247407	1247407
PRJNA473221_Bombus-vosnesenskii	SRR7222323	JDL964-CA02-2015--Bv	dummy	null	null	SINGLE	1622436	1622436
PRJNA473221_Bombus-vosnesenskii	SRR7222324	JDL954-CA02-2015--Bv	dummy	null	null	SINGLE	912140	912140
PRJNA473221_Bombus-vosnesenskii	SRR7222325	JDL942-CA01-2015--Bv	dummy	null	null	SINGLE	1351654	1351654
PRJNA473221_Bombus-vosnesenskii	SRR7222326	JDL956-CA02-2015--Bv	dummy	null	null	SINGLE	832110	832110
PRJNA473221_Bombus-vosnesenskii	SRR7222327	JDL955-CA02-2015--Bv	dummy	null	null	SINGLE	1157173	1157173
PRJNA473221_Bombus-vosnesenskii	SRR7222328	JDL847b-OR08-2014--Bv	dummy	null	null	SINGLE	3616492	3616492
PRJNA473221_Bombus-vosnesenskii	SRR7222329	JDL848b-OR08-2014--Bv	dummy	null	null	SINGLE	3614031	3614031
PRJNA473221_Bombus-vosnesenskii	SRR7222330	JDL849b-OR08-2014--Bv	dummy	null	null	SINGLE	3185573	3185573
PRJNA473221_Bombus-vosnesenskii	SRR7222331	JDL850b-OR08-2014--Bv	dummy	null	null	SINGLE	3042417	3042417
PRJNA473221_Bombus-vosnesenskii	SRR7222332	JDL843b-OR08-2014--Bv	dummy	null	null	SINGLE	1538745	1538745
PRJNA473221_Bombus-vosnesenskii	SRR7222333	JDL844b-OR08-2014--Bv	dummy	null	null	SINGLE	1994932	1994932
PRJNA473221_Bombus-vosnesenskii	SRR7222334	JDL845b-OR08-2014--Bv	dummy	null	null	SINGLE	3192715	3192715
PRJNA473221_Bombus-vosnesenskii	SRR7222335	JDL846b-OR08-2014--Bv	dummy	null	null	SINGLE	3314366	3314366
PRJNA473221_Bombus-vosnesenskii	SRR7222336	JDL851b-OR08-2014--Bv	dummy	null	null	SINGLE	2251800	2251800
PRJNA473221_Bombus-vosnesenskii	SRR7222337	JDL852b-OR08-2014--Bv	dummy	null	null	SINGLE	1669108	1669108
PRJNA473221_Bombus-vosnesenskii	SRR7222338	JDL1151-CA12-2015-S-Bv	dummy	null	null	SINGLE	2433437	2433437
PRJNA473221_Bombus-vosnesenskii	SRR7222339	JDL1149-CA12-2015-S-Bv	dummy	null	null	SINGLE	1389369	1389369
PRJNA473221_Bombus-vosnesenskii	SRR7222340	JDL1148-CA12-2015-S-Bv	dummy	null	null	SINGLE	1221068	1221068
PRJNA473221_Bombus-vosnesenskii	SRR7222341	JDL1147-CA12-2015-S-Bv	dummy	null	null	SINGLE	1320607	1320607
PRJNA473221_Bombus-vosnesenskii	SRR7222342	JDL1146-CA12-2015-S-Bv	dummy	null	null	SINGLE	1374049	1374049
PRJNA473221_Bombus-vosnesenskii	SRR7222343	JDL1145-CA12-2015-S-Bv	dummy	null	null	SINGLE	931308	931308
PRJNA473221_Bombus-vosnesenskii	SRR7222344	JDL1144-CA12-2015-S-Bv	dummy	null	null	SINGLE	1122340	1122340
PRJNA473221_Bombus-vosnesenskii	SRR7222345	JDL1134-CA11-2015-S-Bv	dummy	null	null	SINGLE	1332908	1332908
PRJNA473221_Bombus-vosnesenskii	SRR7222346	JDL1169-OR01-2015-S-Bv	dummy	null	null	SINGLE	1318490	1318490
PRJNA473221_Bombus-vosnesenskii	SRR7222347	JDL1152-CA12-2015-S-Bv	dummy	null	null	SINGLE	1651196	1651196
PRJNA473221_Bombus-vosnesenskii	SRR7222348	JDL800-WA04-2014--Bv	dummy	null	null	SINGLE	2196269	2196269
PRJNA473221_Bombus-vosnesenskii	SRR7222349	JDL2893-WA07-2016--Bv	dummy	null	null	SINGLE	1915858	1915858
PRJNA473221_Bombus-vosnesenskii	SRR7222350	JDL2894-WA07-2016--Bv	dummy	null	null	SINGLE	1702809	1702809
PRJNA473221_Bombus-vosnesenskii	SRR7222351	JDL3147-OR05-2016--Bv	dummy	null	null	SINGLE	1940201	1940201
PRJNA473221_Bombus-vosnesenskii	SRR7222352	JDL2892-WA07-2016--Bv	dummy	null	null	SINGLE	1673497	1673497
PRJNA473221_Bombus-vosnesenskii	SRR7222353	JDL2887-WA07-2016--Bv	dummy	null	null	SINGLE	1897906	1897906
PRJNA473221_Bombus-vosnesenskii	SRR7222354	JDL2888-WA07-2016--Bv	dummy	null	null	SINGLE	1930906	1930906
PRJNA473221_Bombus-vosnesenskii	SRR7222355	JDL776-WA02-2014--Bv	dummy	null	null	SINGLE	1798181	1798181
PRJNA473221_Bombus-vosnesenskii	SRR7222356	JDL778-WA02-2014--Bv	dummy	null	null	SINGLE	1694769	1694769
PRJNA473221_Bombus-vosnesenskii	SRR7222357	JDL774-WA01-2014--Bv	dummy	null	null	SINGLE	1568554	1568554
PRJNA473221_Bombus-vosnesenskii	SRR7222358	JDL775-WA01-2014--Bv	dummy	null	null	SINGLE	2889903	2889903
PRJNA473221_Bombus-vosnesenskii	SRR7222359	JDL772-WA01-2014--Bv	dummy	null	null	SINGLE	1180436	1180436
PRJNA473221_Bombus-vosnesenskii	SRR7222360	JDL773-WA01-2014--Bv	dummy	null	null	SINGLE	1134925	1134925
PRJNA473221_Bombus-vosnesenskii	SRR7222361	JDL770-WA01-2014--Bv	dummy	null	null	SINGLE	1825822	1825822
PRJNA473221_Bombus-vosnesenskii	SRR7222362	JDL771-WA01-2014--Bv	dummy	null	null	SINGLE	1339200	1339200
PRJNA473221_Bombus-vosnesenskii	SRR7222363	JDL553-CA06-2013--Bv	dummy	null	null	SINGLE	1611958	1611958
PRJNA473221_Bombus-vosnesenskii	SRR7222364	JDL769-WA01-2014--Bv	dummy	null	null	SINGLE	2002925	2002925
PRJNA473221_Bombus-vosnesenskii	SRR7222365	JDL291-CA02-2012--Bv	dummy	null	null	SINGLE	1082643	1082643
PRJNA473221_Bombus-vosnesenskii	SRR7222366	JDL290-CA02-2012--Bv	dummy	null	null	SINGLE	1959292	1959292
PRJNA473221_Bombus-vosnesenskii	SRR7222367	JDL260-OR11-2012--Bv	dummy	null	null	SINGLE	2203202	2203202
PRJNA473221_Bombus-vosnesenskii	SRR7222368	JDL259-OR11-2012--Bv	dummy	null	null	SINGLE	1567483	1567483
PRJNA473221_Bombus-vosnesenskii	SRR7222369	JDL262-OR11-2012--Bv	dummy	null	null	SINGLE	1724197	1724197
PRJNA473221_Bombus-vosnesenskii	SRR7222370	JDL261-OR11-2012--Bv	dummy	null	null	SINGLE	2224474	2224474
PRJNA473221_Bombus-vosnesenskii	SRR7222371	JDL264-OR11-2012--Bv	dummy	null	null	SINGLE	2384035	2384035
PRJNA473221_Bombus-vosnesenskii	SRR7222372	JDL263-OR11-2012--Bv	dummy	null	null	SINGLE	1265698	1265698
PRJNA473221_Bombus-vosnesenskii	SRR7222373	JDL288-CA02-2012--Bv	dummy	null	null	SINGLE	2970222	2970222
PRJNA473221_Bombus-vosnesenskii	SRR7222374	JDL287-CA02-2012--Bv	dummy	null	null	SINGLE	1862666	1862666
PRJNA473221_Bombus-vosnesenskii	SRR7222375	JDL668-CA01-2014-S-Bv	dummy	null	null	SINGLE	1735999	1735999
PRJNA473221_Bombus-vosnesenskii	SRR7222387	JDL1891-CA29-2015--Bv	dummy	null	null	SINGLE	2065844	2065844
PRJNA473221_Bombus-vosnesenskii	SRR7222404	JDL612-CA10-2013--Bv	dummy	null	null	SINGLE	2105958	2105958
PRJNA473221_Bombus-vosnesenskii	SRR7222405	JDL611-CA10-2013--Bv	dummy	null	null	SINGLE	1551458	1551458
PRJNA473221_Bombus-vosnesenskii	SRR7222408	JDL337-CA04-2012--Bv	dummy	null	null	SINGLE	918363	918363
PRJNA473221_Bombus-vosnesenskii	SRR7222409	JDL338-CA04-2012--Bv	dummy	null	null	SINGLE	918642	918642
PRJNA473221_Bombus-vosnesenskii	SRR7222410	JDL609-CA10-2013--Bv	dummy	null	null	SINGLE	1614701	1614701
PRJNA473221_Bombus-vosnesenskii	SRR7222411	JDL607-CA10-2013--Bv	dummy	null	null	SINGLE	2008875	2008875
PRJNA473221_Bombus-vosnesenskii	SRR7222420	JDL3105-WA18-2016--Bv	dummy	null	null	SINGLE	1146519	1146519
PRJNA473221_Bombus-vosnesenskii	SRR7222421	JDL3143-OR04-2016--Bv	dummy	null	null	SINGLE	1456050	1456050
PRJNA473221_Bombus-vosnesenskii	SRR7222422	JDL787-WA03-2014--Bv	dummy	null	null	SINGLE	4343958	4343958
PRJNA473221_Bombus-vosnesenskii	SRR7222423	JDL209-OR08-2012-D-Bv	dummy	null	null	SINGLE	1226062	1226062
PRJNA473221_Bombus-vosnesenskii	SRR7222424	JDL3144-OR05-2016--Bv	dummy	null	null	SINGLE	1938576	1938576
PRJNA473221_Bombus-vosnesenskii	SRR7222425	JDL784-WA02-2014--Bv	dummy	null	null	SINGLE	1422126	1422126
PRJNA473221_Bombus-vosnesenskii	SRR7222426	JDL783-WA02-2014--Bv	dummy	null	null	SINGLE	1252640	1252640
PRJNA473221_Bombus-vosnesenskii	SRR7222427	JDL786-WA03-2014--Bv	dummy	null	null	SINGLE	4304136	4304136
PRJNA473221_Bombus-vosnesenskii	SRR7222428	JDL785-WA02-2014--Bv	dummy	null	null	SINGLE	1304430	1304430
PRJNA473221_Bombus-vosnesenskii	SRR7222429	JDL780-WA02-2014--Bv	dummy	null	null	SINGLE	1729946	1729946
PRJNA473221_Bombus-vosnesenskii	SRR7222430	JDL779-WA02-2014--Bv	dummy	null	null	SINGLE	1890596	1890596
PRJNA473221_Bombus-vosnesenskii	SRR7222431	JDL782-WA02-2014--Bv	dummy	null	null	SINGLE	1722503	1722503
PRJNA473221_Bombus-vosnesenskii	SRR7222432	JDL781-WA02-2014--Bv	dummy	null	null	SINGLE	1640895	1640895
PRJNA473221_Bombus-vosnesenskii	SRR7222433	JDL2958-OR02-2016--Bv	dummy	null	null	SINGLE	1472487	1472487
PRJNA473221_Bombus-vosnesenskii	SRR7222434	JDL328-CA04-2012--Bv	dummy	null	null	SINGLE	1052247	1052247
PRJNA473221_Bombus-vosnesenskii	SRR7222435	JDL2959-OR02-2016--Bv	dummy	null	null	SINGLE	1698138	1698138
PRJNA473221_Bombus-vosnesenskii	SRR7222436	JDL2950-OR01-2016--Bv	dummy	null	null	SINGLE	1676919	1676919
PRJNA473221_Bombus-vosnesenskii	SRR7222437	JDL541-CA06-2013--Bv	dummy	null	null	SINGLE	1423098	1423098
PRJNA473221_Bombus-vosnesenskii	SRR7222438	JDL564-CA08-2013--Bv	dummy	null	null	SINGLE	1842591	1842591
PRJNA473221_Bombus-vosnesenskii	SRR7222439	JDL496-CA03-2013--Bv	dummy	null	null	SINGLE	1370882	1370882
PRJNA473221_Bombus-vosnesenskii	SRR7222440	JDL539-CA06-2013--Bv	dummy	null	null	SINGLE	1353526	1353526
PRJNA473221_Bombus-vosnesenskii	SRR7222441	JDL494-CA03-2013--Bv	dummy	null	null	SINGLE	1225623	1225623
PRJNA473221_Bombus-vosnesenskii	SRR7222442	JDL495-CA03-2013--Bv	dummy	null	null	SINGLE	1749747	1749747
PRJNA473221_Bombus-vosnesenskii	SRR7222443	JDL492-CA03-2013--Bv	dummy	null	null	SINGLE	1265776	1265776
PRJNA473221_Bombus-vosnesenskii	SRR7222444	JDL493-CA03-2013--Bv	dummy	null	null	SINGLE	1111840	1111840
PRJNA473221_Bombus-vosnesenskii	SRR7222445	JDL2952-OR01-2016--Bv	dummy	null	null	SINGLE	1345957	1345957
PRJNA473221_Bombus-vosnesenskii	SRR7222446	JDL565-CA08-2013--Bv	dummy	null	null	SINGLE	1474199	1474199
PRJNA473221_Bombus-vosnesenskii	SRR7222447	JDL336-CA04-2012--Bv	dummy	null	null	SINGLE	1536485	1536485
PRJNA473221_Bombus-vosnesenskii	SRR7222450	JDL2953-OR01-2016--Bv	dummy	null	null	SINGLE	1232934	1232934
PRJNA473221_Bombus-vosnesenskii	SRR7222477	JDL552-CA06-2013--Bv	dummy	null	null	SINGLE	1739966	1739966
PRJNA473221_Bombus-vosnesenskii	SRR7222480	JDL465-CA02-2013--Bv	dummy	null	null	SINGLE	1386180	1386180
PRJNA473221_Bombus-vosnesenskii	SRR7222481	JDL468-CA02-2013--Bv	dummy	null	null	SINGLE	1171349	1171349
PRJNA473221_Bombus-vosnesenskii	SRR7222482	JDL314-CA03-2012--Bv	dummy	null	null	SINGLE	1370984	1370984
PRJNA473221_Bombus-vosnesenskii	SRR7222483	JDL313-CA03-2012--Bv	dummy	null	null	SINGLE	1672628	1672628
PRJNA473221_Bombus-vosnesenskii	SRR7222484	JDL471-CA02-2013--Bv	dummy	null	null	SINGLE	1307189	1307189
PRJNA473221_Bombus-vosnesenskii	SRR7222485	JDL475-CA02-2013--Bv	dummy	null	null	SINGLE	1657131	1657131
PRJNA473221_Bombus-vosnesenskii	SRR7222486	JDL477-CA02-2013--Bv	dummy	null	null	SINGLE	3541039	3541039
PRJNA473221_Bombus-vosnesenskii	SRR7222487	JDL478-CA02-2013--Bv	dummy	null	null	SINGLE	3780980	3780980
PRJNA473221_Bombus-vosnesenskii	SRR7222488	JDL308-CA03-2012--Bv	dummy	null	null	SINGLE	1498148	1498148
PRJNA473221_Bombus-vosnesenskii	SRR7222489	JDL307-CA03-2012--Bv	dummy	null	null	SINGLE	2168950	2168950
PRJNA473221_Bombus-vosnesenskii	SRR7222490	JDL306-CA03-2012--Bv	dummy	null	null	SINGLE	2255943	2255943
PRJNA473221_Bombus-vosnesenskii	SRR7222491	JDL305-CA03-2012--Bv	dummy	null	null	SINGLE	2132342	2132342
PRJNA473221_Bombus-vosnesenskii	SRR7222492	JDL312-CA03-2012--Bv	dummy	null	null	SINGLE	1293194	1293194
PRJNA473221_Bombus-vosnesenskii	SRR7222493	JDL311-CA03-2012--Bv	dummy	null	null	SINGLE	2720218	2720218
PRJNA473221_Bombus-vosnesenskii	SRR7222494	JDL310-CA03-2012--Bv	dummy	null	null	SINGLE	1199242	1199242
PRJNA473221_Bombus-vosnesenskii	SRR7222495	JDL309-CA03-2012--Bv	dummy	null	null	SINGLE	1616054	1616054
PRJNA473221_Bombus-vosnesenskii	SRR7222496	JDL551-CA06-2013--Bv	dummy	null	null	SINGLE	1891563	1891563
PRJNA473221_Bombus-vosnesenskii	SRR7222497	JDL802-WA04-2014-D-Bv	dummy	null	null	SINGLE	1231376	1231376
PRJNA473221_Bombus-vosnesenskii	SRR7222498	JDL2889-WA07-2016--Bv	dummy	null	null	SINGLE	1285462	1285462
PRJNA473221_Bombus-vosnesenskii	SRR7222499	JDL648-CA12-2013--Bv	dummy	null	null	SINGLE	1181790	1181790
PRJNA473221_Bombus-vosnesenskii	SRR7222500	JDL331-CA04-2012--Bv	dummy	null	null	SINGLE	2290672	2290672
PRJNA473221_Bombus-vosnesenskii	SRR7222501	JDL330-CA04-2012--Bv	dummy	null	null	SINGLE	1346940	1346940
PRJNA473221_Bombus-vosnesenskii	SRR7222502	JDL329-CA04-2012--Bv	dummy	null	null	SINGLE	1908984	1908984
PRJNA473221_Bombus-vosnesenskii	SRR7222503	JDL319-CA03-2012--Bv	dummy	null	null	SINGLE	953219	953219
PRJNA473221_Bombus-vosnesenskii	SRR7222504	JDL304-CA02-2012--Bv	dummy	null	null	SINGLE	1657730	1657730
PRJNA473221_Bombus-vosnesenskii	SRR7222505	JDL297-CA02-2012--Bv	dummy	null	null	SINGLE	1299245	1299245
PRJNA473221_Bombus-vosnesenskii	SRR7222516	JDL579-CA08-2013--Bv	dummy	null	null	SINGLE	1755222	1755222
PRJNA473221_Bombus-vosnesenskii	SRR7222517	JDL659-CA13-2013--Bv	dummy	null	null	SINGLE	1213648	1213648
PRJNA473221_Bombus-vosnesenskii	SRR7222518	JDL3153-OR05-2016--Bv	dummy	null	null	SINGLE	1338014	1338014
PRJNA473221_Bombus-vosnesenskii	SRR7222519	JDL3152-OR05-2016--Bv	dummy	null	null	SINGLE	1961042	1961042
PRJNA473221_Bombus-vosnesenskii	SRR7222520	JDL1189-OR02-2015--Bv	dummy	null	null	SINGLE	1341204	1341204
PRJNA473221_Bombus-vosnesenskii	SRR7222521	JDL3104-WA18-2016--Bv	dummy	null	null	SINGLE	1753756	1753756
PRJNA473221_Bombus-vosnesenskii	SRR7222522	JDL3103-WA18-2016--Bv	dummy	null	null	SINGLE	1819632	1819632
PRJNA473221_Bombus-vosnesenskii	SRR7222523	JDL3146-OR05-2016--Bv	dummy	null	null	SINGLE	1584527	1584527
PRJNA473221_Bombus-vosnesenskii	SRR7222524	JDL3145-OR05-2016--Bv	dummy	null	null	SINGLE	1725921	1725921
PRJNA473221_Bombus-vosnesenskii	SRR7222525	JDL3148-OR05-2016--Bv	dummy	null	null	SINGLE	1433870	1433870
PRJNA473221_Bombus-vosnesenskii	SRR7222526	JDL2935-OR01-2016--Bv	dummy	null	null	SINGLE	1828709	1828709
PRJNA473221_Bombus-vosnesenskii	SRR7222527	JDL3151-OR05-2016--Bv	dummy	null	null	SINGLE	1645152	1645152
PRJNA473221_Bombus-vosnesenskii	SRR7222528	JDL3149-OR05-2016--Bv	dummy	null	null	SINGLE	1151886	1151886
PRJNA473221_Bombus-vosnesenskii	SRR7222529	JDL577-CA08-2013--Bv	dummy	null	null	SINGLE	1376935	1376935
PRJNA473221_Bombus-vosnesenskii	SRR7222530	JDL578-CA08-2013--Bv	dummy	null	null	SINGLE	1692763	1692763
PRJNA473221_Bombus-vosnesenskii	SRR7222531	JDL569-CA08-2013--Bv	dummy	null	null	SINGLE	1837297	1837297
PRJNA473221_Bombus-vosnesenskii	SRR7222532	JDL570-CA08-2013--Bv	dummy	null	null	SINGLE	1887357	1887357
PRJNA473221_Bombus-vosnesenskii	SRR7222533	JDL571-CA08-2013--Bv	dummy	null	null	SINGLE	1887482	1887482
PRJNA473221_Bombus-vosnesenskii	SRR7222534	JDL572-CA08-2013--Bv	dummy	null	null	SINGLE	1317653	1317653
PRJNA473221_Bombus-vosnesenskii	SRR7222535	JDL573-CA08-2013--Bv	dummy	null	null	SINGLE	1269489	1269489
PRJNA473221_Bombus-vosnesenskii	SRR7222536	JDL574-CA08-2013--Bv	dummy	null	null	SINGLE	1603274	1603274
PRJNA473221_Bombus-vosnesenskii	SRR7222537	JDL575-CA08-2013--Bv	dummy	null	null	SINGLE	1856908	1856908
PRJNA473221_Bombus-vosnesenskii	SRR7222538	JDL576-CA08-2013--Bv	dummy	null	null	SINGLE	1052437	1052437
PRJNA473221_Bombus-vosnesenskii	SRR7222539	JDL743-OR03-2014--Bv	dummy	null	null	SINGLE	1924539	1924539
PRJNA473221_Bombus-vosnesenskii	SRR7222540	JDL741-OR03-2014--Bv	dummy	null	null	SINGLE	1431005	1431005
PRJNA473221_Bombus-vosnesenskii	SRR7222541	JDL739-OR03-2014--Bv	dummy	null	null	SINGLE	1731556	1731556
PRJNA473221_Bombus-vosnesenskii	SRR7222542	JDL738-OR03-2014--Bv	dummy	null	null	SINGLE	1468048	1468048
PRJNA473221_Bombus-vosnesenskii	SRR7222543	JDL747-OR03-2014--Bv	dummy	null	null	SINGLE	1071468	1071468
PRJNA473221_Bombus-vosnesenskii	SRR7222544	JDL746-OR03-2014--Bv	dummy	null	null	SINGLE	1626109	1626109
PRJNA473221_Bombus-vosnesenskii	SRR7222545	JDL745-OR03-2014--Bv	dummy	null	null	SINGLE	1751032	1751032
PRJNA473221_Bombus-vosnesenskii	SRR7222546	JDL744-OR03-2014--Bv	dummy	null	null	SINGLE	1839860	1839860
PRJNA473221_Bombus-vosnesenskii	SRR7222547	JDL861-OR03-2014--Bv	dummy	null	null	SINGLE	1385658	1385658
PRJNA473221_Bombus-vosnesenskii	SRR7222548	JDL860-OR03-2014--Bv	dummy	null	null	SINGLE	1680662	1680662
PRJNA473221_Bombus-vosnesenskii	SRR7222549	JDL1047-CA06-2015-S-Bv	dummy	null	null	SINGLE	1974316	1974316
PRJNA473221_Bombus-vosnesenskii	SRR7222550	JDL1046-CA06-2015-S-Bv	dummy	null	null	SINGLE	1505852	1505852
PRJNA473221_Bombus-vosnesenskii	SRR7222551	JDL1043-CA06-2015-S-Bv	dummy	null	null	SINGLE	2274887	2274887
PRJNA473221_Bombus-vosnesenskii	SRR7222552	JDL1042-CA06-2015-S-Bv	dummy	null	null	SINGLE	1571973	1571973
PRJNA473221_Bombus-vosnesenskii	SRR7222553	JDL1045-CA06-2015-S-Bv	dummy	null	null	SINGLE	1934901	1934901
PRJNA473221_Bombus-vosnesenskii	SRR7222554	JDL1044-CA06-2015-S-Bv	dummy	null	null	SINGLE	1301660	1301660
PRJNA473221_Bombus-vosnesenskii	SRR7222555	JDL1033-CA05-2015-S-Bv	dummy	null	null	SINGLE	1752590	1752590
PRJNA473221_Bombus-vosnesenskii	SRR7222556	JDL1009-CA04-2015-S-Bv	dummy	null	null	SINGLE	1638890	1638890
PRJNA473221_Bombus-vosnesenskii	SRR7222557	JDL1041-CA06-2015-S-Bv	dummy	null	null	SINGLE	1894428	1894428
PRJNA473221_Bombus-vosnesenskii	SRR7222558	JDL538-CA06-2013--Bv	dummy	null	null	SINGLE	1730862	1730862
PRJNA473221_Bombus-vosnesenskii	SRR7222559	JDL269-CA01-2012--Bv	dummy	null	null	SINGLE	1641220	1641220
PRJNA473221_Bombus-vosnesenskii	SRR7222560	JDL154-OR06-2012--Bv	dummy	null	null	SINGLE	1120959	1120959
PRJNA473221_Bombus-vosnesenskii	SRR7222563	JDL3139-OR04-2016-D-Bv	dummy	null	null	SINGLE	1905267	1905267
PRJNA473221_Bombus-vosnesenskii	SRR7222564	JDL3150-OR05-2016-D-Bv	dummy	null	null	SINGLE	1901142	1901142
PRJNA473221_Bombus-vosnesenskii	SRR7222575	JDL1141-CA11-2015--Bv	dummy	null	null	SINGLE	1277534	1277534
PRJNA473221_Bombus-vosnesenskii	SRR7222576	JDL222-OR09-2012--Bv	dummy	null	null	SINGLE	1230197	1230197
PRJNA473221_Bombus-vosnesenskii	SRR7222577	JDL221-OR09-2012--Bv	dummy	null	null	SINGLE	806734	806734
PRJNA473221_Bombus-vosnesenskii	SRR7222578	JDL217-OR09-2012--Bv	dummy	null	null	SINGLE	858334	858334
PRJNA473221_Bombus-vosnesenskii	SRR7222579	JDL215-OR09-2012--Bv	dummy	null	null	SINGLE	1408316	1408316
