 tsk_325 tsk_3368 tsk_3098 tsk_1167 tsk_126 tsk_2381 tsk_375 tsk_2971 tsk_641 tsk_3652 tsk_532 tsk_1926 tsk_395 tsk_2097 tsk_671 tsk_2857 tsk_1381 tsk_2599 tsk_3567 tsk_1655 tsk_1435 tsk_2987 tsk_3042 tsk_1800 tsk_313 tsk_3312 tsk_1517 tsk_2427 tsk_1440 tsk_1891 tsk_3469 tsk_3243 tsk_3948 tsk_3896 tsk_3965 tsk_2939 tsk_1033 tsk_2000 tsk_756 tsk_848 tsk_2298 tsk_1838 tsk_1061 tsk_2808 tsk_1399 tsk_661 tsk_770 tsk_2260 tsk_1342 tsk_2911 tsk_45 tsk_249 tsk_3314 tsk_3379 tsk_2638 tsk_2174 tsk_1398 tsk_2007 tsk_3534 tsk_560 tsk_2021 tsk_1548 tsk_1215 tsk_2252 tsk_1811 tsk_1382 tsk_2747 tsk_1090 tsk_3055 tsk_3845 tsk_2199 tsk_2961 tsk_3188 tsk_3676 tsk_1063 tsk_369 tsk_1688 tsk_1629 tsk_228 tsk_3069 tsk_2702 tsk_853 tsk_983 tsk_3701 tsk_450 tsk_398 tsk_2988 tsk_306 tsk_737 tsk_303 tsk_3451 tsk_2505 tsk_2235 tsk_2308 tsk_3710 tsk_227 tsk_3274 tsk_2585 tsk_758 tsk_2092
0 0.00080934 0.001296335 0.001267675 0.00135232 0.001356825 0.001309905 0.001317085 0.001357235 0.00138799 0.00134555 0.00144212 0.001339275 0.001264995 0.00129366 0.001343065 0.00128391 0.00135325 0.001317355 0.001389085 0.001395325 0.001320355 0.001514065 0.001189275 0.001398255 0.00131315 0.0013576 0.001428445 0.00134709 0.00139901 0.001312395 0.00131014 0.001380745 0.001222525 0.00140122 0.00133948 0.00139517 0.0013291 0.001434515 0.00130704 0.001248385 0.00134429 0.00124676 0.00141284 0.00137923 0.00127099 0.001341895 0.00134638 0.0012338 0.001414 0.001292995 0.001404115 0.00136481 0.00137872 0.0012432 0.00135929 0.00140797 0.001344175 0.001389145 0.001393835 0.00130013 0.00127172 0.001203365 0.001349735 0.001337335 0.00140792 0.00143354 0.001311135 0.00125258 0.001267045 0.00140814 0.001341185 0.001277855 0.001356725 0.001362315 0.001356685 0.001441315 0.001243365 0.00134628 0.001385105 0.001368485 0.001353655 0.001307745 0.00128776 0.001401015 0.001393725 0.00137723 0.001333735 0.001347185 0.001256515 0.00137261 0.00139409 0.00131916 0.001213495 0.001411535 0.00146666 0.001360325 0.001104605 0.001350185 0.001382555 0.001317325
1 0.001296335 0.0013656 0.001294885 0.001263555 0.001333195 0.001357375 0.0013161 0.00133442 0.0013431 0.00132023 0.001321555 0.001343105 0.00125496 0.001291545 0.001327855 0.001317955 0.001332645 0.00128916 0.00135676 0.001373015 0.00128028 0.001418955 0.001236395 0.00134687 0.001235505 0.00134611 0.0013068 0.00131902 0.00138191 0.001265785 0.001268265 0.00135725 0.001231405 0.001344845 0.001322285 0.00136944 0.001343835 0.001224565 0.00135751 0.00126743 0.00127464 0.001197775 0.001367275 0.001421095 0.001252415 0.00132274 0.001406785 0.001224745 0.001336125 0.00125543 0.001329525 0.00129869 0.001272785 0.001303025 0.00137308 0.001280035 0.001298025 0.001348955 0.001174025 0.00130286 0.00140267 0.00132468 0.001341015 0.001298355 0.001329795 0.00136716 0.00134796 0.001298055 0.001277585 0.001348015 0.00135045 0.001228405 0.001351645 0.001412435 0.001267725 0.001362955 0.001388315 0.001385465 0.001303995 0.001094205 0.001291735 0.0012313 0.00128984 0.001372485 0.00129973 0.00136527 0.00130042 0.0013277 0.001356425 0.00146845 0.001351665 0.001331955 0.001280505 0.00136519 0.0014492 0.001336365 0.001336825 0.001251265 0.00135306 0.00125265
2 0.001267675 0.001294885 0.0013739 0.001179375 0.001295715 0.001246 0.001317515 0.00135227 0.001411655 0.00127752 0.001360085 0.0013384 0.001287495 0.001358095 0.001369615 0.001330525 0.001291625 0.0012305 0.00128426 0.001308555 0.001346105 0.00142215 0.001276125 0.00140889 0.00132279 0.00126848 0.00135554 0.00136569 0.001368765 0.00131825 0.00130155 0.001324285 0.001261645 0.0012438 0.0013629 0.001369205 0.00133791 0.001341245 0.001389125 0.00132302 0.00131469 0.001290365 0.001359365 0.001266625 0.00124048 0.00132493 0.00131659 0.001227045 0.00131353 0.001290545 0.001343355 0.00132757 0.001301875 0.001285055 0.00129667 0.00137771 0.001294225 0.00134308 0.001377375 0.00135349 0.001326085 0.00113065 0.0013218 0.001220495 0.001220105 0.001328 0.00142164 0.00126851 0.001231635 0.00135479 0.001339185 0.00124679 0.001348535 0.00135577 0.001351135 0.00130486 0.001256835 0.001317125 0.001352325 0.001311075 0.00121139 0.001244135 0.001314065 0.00131742 0.00135988 0.00129596 0.001350865 0.001329865 0.00127868 0.001388605 0.001267055 0.001343955 0.00134734 0.001392755 0.001442725 0.001359545 0.001321195 0.001292185 0.001359865 0.00127846
3 0.00135232 0.001263555 0.001179375 0.00125223 0.00108571 0.00131705 0.001335585 0.00130121 0.001403935 0.001289665 0.001300585 0.001316575 0.001331055 0.001250725 0.001422015 0.00120128 0.00127465 0.00118692 0.00134649 0.001241935 0.001308085 0.00139056 0.00128195 0.00133417 0.00136755 0.001311535 0.00134766 0.001330015 0.00129428 0.001296645 0.001247605 0.00132579 0.001380985 0.00132619 0.00131859 0.00133966 0.00128003 0.001251065 0.001354035 0.001315365 0.00131955 0.00125473 0.00136125 0.001258895 0.001335535 0.00129141 0.001389 0.00120408 0.001269085 0.001227605 0.001342845 0.00129624 0.00130243 0.001379865 0.00133271 0.001348195 0.001319985 0.001293325 0.001325505 0.00134034 0.001395365 0.00125705 0.00138492 0.0013098 0.00121153 0.00134752 0.001426805 0.001313035 0.00120146 0.00132958 0.00134358 0.00130611 0.0014085 0.001395885 0.001342715 0.00136794 0.00126329 0.001350855 0.00138338 0.001361325 0.001276385 0.00126012 0.001261915 0.00126079 0.00135083 0.00133574 0.001268935 0.00137297 0.00125449 0.001385805 0.00134315 0.001283675 0.001195355 0.001359805 0.00143862 0.00141356 0.001306515 0.001272285 0.001340175 0.001255705
4 0.001356825 0.001333195 0.001295715 0.00108571 0.0012741 0.001345325 0.00144773 0.00127437 0.00141227 0.00123698 0.001375085 0.00133212 0.00125571 0.00125633 0.001326255 0.001261555 0.00129767 0.001335235 0.00136246 0.001302995 0.00133689 0.00136097 0.001333235 0.001418485 0.001251815 0.001372565 0.00139368 0.00130609 0.00129108 0.001267855 0.00136457 0.00132213 0.00133726 0.00139689 0.0013944 0.00130547 0.00136262 0.001340245 0.001345375 0.0013011 0.00129523 0.001199355 0.001349735 0.001299715 0.001331925 0.00126907 0.001463425 0.00128705 0.00132761 0.00127932 0.001380075 0.00136569 0.001330035 0.001335795 0.00133748 0.001353995 0.001305865 0.00126715 0.001342365 0.00127743 0.001374405 0.00130259 0.00129799 0.00131688 0.00133493 0.001413845 0.00136518 0.00125718 0.001277925 0.001389185 0.001227565 0.00128145 0.00138367 0.001392325 0.00138714 0.001339835 0.00126824 0.00142097 0.0014059 0.00137473 0.00129224 0.001394325 0.00129743 0.00130109 0.00135894 0.00137988 0.001253375 0.00142754 0.001344435 0.001307945 0.001281905 0.001272175 0.00131972 0.00141761 0.001366375 0.00137305 0.00132894 0.00141706 0.001313 0.00117711
5 0.001309905 0.001357375 0.001246 0.00131705 0.001345325 0.00124423 0.00137986 0.001350295 0.001283255 0.001325855 0.001274285 0.00132936 0.00124516 0.001374715 0.00128357 0.001289245 0.00133532 0.00123982 0.00123635 0.001278985 0.00139601 0.00140571 0.00140005 0.00138508 0.001443585 0.001298655 0.00133961 0.00133604 0.001260505 0.00137071 0.00129808 0.001295425 0.001343535 0.001360605 0.00133826 0.001395 0.00132147 0.001291265 0.00131254 0.00134795 0.00137519 0.001192285 0.00136041 0.001346435 0.001263 0.001348295 0.001325585 0.00133133 0.00126199 0.00131801 0.001413025 0.00136437 0.001289255 0.001195085 0.00129686 0.001368875 0.001261225 0.001261785 0.001345205 0.001403965 0.001237145 0.00129532 0.001366475 0.001363585 0.001327025 0.001214495 0.001332385 0.001344295 0.0013387 0.001357645 0.001353575 0.001302525 0.001282115 0.001207735 0.00133206 0.001283615 0.00124468 0.00133954 0.00143165 0.00134274 0.00133526 0.00127632 0.00127893 0.001212715 0.001349 0.00136289 0.00138852 0.001188915 0.00119135 0.001236735 0.001306475 0.00127773 0.001313355 0.001339665 0.00139203 0.001324825 0.001391805 0.001313325 0.001354395 0.001258005
6 0.001317085 0.0013161 0.001317515 0.001335585 0.00144773 0.00137986 0.00144483 0.001359425 0.001399885 0.001349575 0.001264655 0.001411275 0.00141351 0.001380885 0.001431655 0.001337405 0.00132104 0.00129773 0.001407095 0.00139396 0.001339505 0.001463925 0.001148005 0.001438515 0.001407015 0.00133075 0.00137202 0.001360355 0.001429325 0.001401805 0.00139069 0.00145234 0.001329655 0.001394195 0.00137293 0.001433395 0.0013679 0.0013895 0.00140239 0.0014058 0.001330955 0.00132188 0.001369795 0.001358575 0.00129555 0.00142702 0.001398485 0.001356305 0.001445285 0.00133692 0.001391175 0.00138759 0.001362735 0.00139519 0.0012799 0.001406045 0.001337615 0.00133615 0.001313765 0.00136364 0.00138641 0.001385415 0.001349015 0.001322795 0.001317405 0.001397185 0.00143268 0.00116337 0.001334995 0.00131681 0.00129459 0.00131029 0.00139778 0.001423965 0.001383005 0.00143883 0.00136779 0.001396525 0.001333835 0.001405185 0.001222615 0.001357755 0.00140964 0.00138827 0.00140434 0.00140926 0.00140934 0.00134762 0.00133805 0.001501265 0.00129019 0.00135611 0.001358145 0.001408305 0.001402985 0.001350965 0.001211655 0.001273555 0.001375095 0.00133223
7 0.001357235 0.00133442 0.00135227 0.00130121 0.00127437 0.001350295 0.001359425 0.00128503 0.00130188 0.00129055 0.001324665 0.001415005 0.00129486 0.001300065 0.00140726 0.001344695 0.001358305 0.001332675 0.001279095 0.001333525 0.001405905 0.001205435 0.001329275 0.001319655 0.00122199 0.001296725 0.00131115 0.001350485 0.00132987 0.00138807 0.001440465 0.00126616 0.00135488 0.00140005 0.00141013 0.001264975 0.00139574 0.00132622 0.00141718 0.00130328 0.001360515 0.00131522 0.00142287 0.00142157 0.00123919 0.001270045 0.00148957 0.001366935 0.001253785 0.00133043 0.001383805 0.00140932 0.001292485 0.00141732 0.00136151 0.00140032 0.001172905 0.001339575 0.00129052 0.00135385 0.001376955 0.00133978 0.00137723 0.001378455 0.00134997 0.001395345 0.001450455 0.0013563 0.00139839 0.001449765 0.00131641 0.001307245 0.00139834 0.001365625 0.001255935 0.00130398 0.00136742 0.001343905 0.001310155 0.00136874 0.00128875 0.001362775 0.001384365 0.00134168 0.0013548 0.001332595 0.00129445 0.001313425 0.00145225 0.001390475 0.001326755 0.00137155 0.00133121 0.001386075 0.001184755 0.00128679 0.00130975 0.001334125 0.0013138 0.0012344
8 0.00138799 0.0013431 0.001411655 0.001403935 0.00141227 0.001283255 0.001399885 0.00130188 0.00140722 0.00142379 0.0013614 0.00136786 0.001301145 0.001368055 0.00128478 0.00137786 0.00139 0.001360545 0.00131331 0.001366325 0.001434985 0.001302895 0.00131966 0.00134728 0.00126816 0.001398445 0.00136087 0.001404195 0.001370125 0.001389265 0.00138277 0.00139835 0.00141747 0.001491475 0.001350155 0.0013606 0.00141344 0.0013827 0.00114775 0.001388125 0.001416435 0.00136675 0.00119247 0.00140943 0.001332805 0.00141676 0.0014059 0.00138926 0.001314585 0.00140451 0.00144392 0.001455045 0.00128554 0.001375465 0.00138162 0.00137741 0.00123817 0.00134518 0.00136875 0.001440635 0.00133702 0.001248875 0.001442595 0.001421455 0.00141417 0.001346655 0.00133808 0.001401745 0.001250065 0.001365945 0.0012833 0.001292155 0.001272575 0.00126615 0.001259165 0.00136916 0.001386025 0.001337185 0.00134019 0.00132387 0.00137071 0.00133609 0.0013473 0.001340365 0.001377245 0.001461575 0.00140746 0.001387935 0.00135983 0.001382225 0.0014195 0.001374495 0.00133453 0.00138429 0.001361415 0.00129882 0.00142356 0.00131571 0.001402155 0.001310265
9 0.00134555 0.00132023 0.00127752 0.001289665 0.00123698 0.001325855 0.001349575 0.00129055 0.00142379 0.00137931 0.001261815 0.001288535 0.00128847 0.001223725 0.00137626 0.001352635 0.00136595 0.001383465 0.001303895 0.0013515 0.00132166 0.001439095 0.001376685 0.001357755 0.0013728 0.001277665 0.00130444 0.0013684 0.001322445 0.00126585 0.001316345 0.00135999 0.00124445 0.0012569 0.00122193 0.001288955 0.001311785 0.00130304 0.001316555 0.001361335 0.00135495 0.001328775 0.001323835 0.00137249 0.00122555 0.00134617 0.00125343 0.001277805 0.00128248 0.00133842 0.00126582 0.001372175 0.001265 0.00133541 0.001296655 0.001339915 0.001281485 0.00132127 0.001217415 0.001340225 0.0013539 0.00133004 0.001343425 0.0012705 0.00127145 0.001361535 0.001401515 0.001332355 0.001318635 0.00139104 0.001295555 0.00130415 0.001332705 0.001349455 0.001277115 0.001346185 0.0013179 0.00139739 0.001340735 0.001356345 0.001305955 0.0012675 0.00125513 0.001308105 0.00130162 0.00138336 0.001356805 0.00135294 0.00130509 0.001291845 0.001315155 0.00130187 0.00139361 0.00136235 0.001223385 0.00134488 0.001327105 0.001332795 0.001435645 0.0013223
