Run,Altitude,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,env_biome,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue
SRR7222897,2685 m,OTHER,85,139388355,PRJNA473221,SAMN09268319,Invertebrate,68802580,UNIVERSITY OF ALABAMA,2013-06-30,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129449,USA,North America,USA:California,Illumina HiSeq 2000,JDL461,Mammoth Lake Mountain,37.65305 N 119.02817 W,JDL461,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL461-CA02-2013--Bv,female,SRP149031,Thorax muscle
SRR7222898,2685 m,OTHER,85,144967755,PRJNA473221,SAMN09268318,Invertebrate,73698513,UNIVERSITY OF ALABAMA,2013-06-30,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129448,USA,North America,USA:California,Illumina HiSeq 2000,JDL460,Mammoth Lake Mountain,37.65305 N 119.02817 W,JDL460,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL460-CA02-2013--Bv,female,SRP149031,Thorax muscle
SRR7222899,2134 m,OTHER,85,114431760,PRJNA473221,SAMN09268172,Invertebrate,75354717,UNIVERSITY OF ALABAMA,2012-07-25,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129447,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL223,Forest Service road 20 (Siskiyou Summit rd.),42.07329 N 122.75365 W,JDL223,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL223-OR09-2012--Bv,female,SRP149031,Thorax muscle
SRR7222900,2134 m,OTHER,85,132005595,PRJNA473221,SAMN09268173,Invertebrate,87480745,UNIVERSITY OF ALABAMA,2012-07-25,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129446,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL228,Forest Service road 20 (Siskiyou Summit rd.),42.07329 N 122.75365 W,JDL228,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL228-OR09-2012--Bv,female,SRP149031,Thorax muscle
SRR7222901,2134 m,OTHER,85,157791960,PRJNA473221,SAMN09268174,Invertebrate,104994299,UNIVERSITY OF ALABAMA,2012-07-25,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129445,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL229,Forest Service road 20 (Siskiyou Summit rd.),42.07329 N 122.75365 W,JDL229,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL229-OR09-2012--Bv,female,SRP149031,Thorax muscle
SRR7222902,2134 m,OTHER,85,139663075,PRJNA473221,SAMN09268175,Invertebrate,93630624,UNIVERSITY OF ALABAMA,2012-07-25,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129444,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL230,Forest Service road 20 (Siskiyou Summit rd.),42.07329 N 122.75365 W,JDL230,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL230-OR09-2012--Bv,female,SRP149031,Thorax muscle
SRR7222903,518 m,OTHER,85,230631605,PRJNA473221,SAMN09268176,Invertebrate,153414481,UNIVERSITY OF ALABAMA,2012-07-25,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129443,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL252,Upper Applegate Road,42.11843 N 123.08467 W,JDL252,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL252-OR11-2012--Bv,female,SRP149031,Thorax muscle
SRR7222904,518 m,OTHER,85,143916390,PRJNA473221,SAMN09268177,Invertebrate,94068676,UNIVERSITY OF ALABAMA,2012-07-25,public,"fastq,sra",s3,s3.us-east-1,Worker,montane,SRX4129442,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL254,Upper Applegate Road,42.11843 N 123.08467 W,JDL254,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL254-OR11-2012--Bv,female,SRP149031,Thorax muscle
SRR7222905,518 m,OTHER,85,285427450,PRJNA473221,SAMN09268178,Invertebrate,190249605,UNIVERSITY OF ALABAMA,2012-07-25,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129441,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL255,Upper Applegate Road,42.11843 N 123.08467 W,JDL255,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL255-OR11-2012--Bv,female,SRP149031,Thorax muscle
SRR7222906,518 m,OTHER,85,259887245,PRJNA473221,SAMN09268179,Invertebrate,170969370,UNIVERSITY OF ALABAMA,2012-07-25,public,"sra,fastq",s3,s3.us-east-1,Worker,montane,SRX4129440,USA,North America,USA:Oregon,Illumina HiSeq 2000,JDL256,Upper Applegate Road,42.11843 N 123.08467 W,JDL256,SINGLE,Reduced Representation,GENOMIC,Bombus vosnesenskii,ILLUMINA,2019-01-01T00:00:00Z,JDL256-OR11-2012--Bv,female,SRP149031,Thorax muscle
